charge_id,amount_cents,status
ch_xctncsbpcdp3eiw8uo9b4kfe,248977,succeeded
ch_zius50k9ep1frby1u5lzvuq4,65623,failed
ch_0o7rfokeptz9ynicfxa3gkft,201887,succeeded
ch_9pdvdut8wchnw8vrer9rlf00,16800,succeeded
ch_tsww21hio2hr092rgvm30m9c,202858,succeeded
ch_l28oo80gef63f39xmtea8xs7,114250,failed
ch_5efs51v1ffwecytr15cgbdqb,110765,failed
ch_epcicy26fzxf58h8or93fpsm,117816,succeeded
ch_2jep63jf7uzdcypc7w2d4c5q,71782,succeeded
ch_maja0tgr7d3pr4osy9m3zwom,176701,succeeded
ch_89ti8lmanrshsajdobakivt1,1400,succeeded
ch_ay2z8xdbw8nqbatijqc76ds0,219373,failed
ch_xywerr9dhrzkq19tldrkcs99,39146,succeeded
ch_8yo0onellmo7ha0jco5c714k,7010,succeeded
ch_7owe5r6tgokj0xoiryexcs3t,189131,succeeded
ch_h8l3ih1k8rgipx8foh9fbco6,222050,succeeded
ch_5u1n1l2dzhtql0rwiwonq2ch,92634,succeeded
ch_zq1263era7kyfi5q2vsofoxr,61806,succeeded
ch_local_only_1,5000,succeeded
ch_local_only_2,12300,succeeded
